id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,instrumentalness,popularity,release_decade,detail_mood,liveness,loudness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.00,72,2020,euphoric,0.10,0.75
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.04,0.87,45,2020,peaceful,0.05,0.35
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.06,0.00,63,2010,aggressive,0.20,0.90
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,0.92,38,2020,peaceful,0.04,0.28
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.08,0.00,81,2020,aggressive,0.12,0.88
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.02,0.95,29,2010,dreamy,0.06,0.22
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.04,0.78,41,2000,nostalgic,0.45,0.40
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.05,0.11,55,2010,nostalgic,0.08,0.70
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,0.89,52,2020,peaceful,0.05,0.32
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.00,58,2020,euphoric,0.15,0.68
11,Block by Block,Flow State,hip-hop,motivated,0.78,96,0.72,0.85,0.08,0.28,0.00,74,2010,aggressive,0.10,0.82
12,Velvet Morning,Jasmine Keys,r&b,romantic,0.55,88,0.74,0.76,0.31,0.09,0.00,61,2010,tender,0.18,0.58
13,Autumn Sonata,Clara Voss,classical,melancholic,0.22,52,0.32,0.28,0.97,0.03,0.98,35,2000,melancholic,0.30,0.20
14,Gravel Road Home,Dusty Pines,country,nostalgic,0.51,104,0.66,0.61,0.72,0.07,0.00,47,2000,nostalgic,0.25,0.52
15,Drop Zone,Circuit Breaker,edm,euphoric,0.97,140,0.83,0.94,0.02,0.04,0.72,78,2020,euphoric,0.08,0.95
16,Wildflower Lullaby,June Sparrow,folk,dreamy,0.30,68,0.58,0.44,0.91,0.05,0.12,33,2010,dreamy,0.35,0.25
17,Island Echo,Sunroot,reggae,happy,0.58,86,0.80,0.79,0.55,0.10,0.04,44,2000,carefree,0.28,0.55
18,3 AM Diner,Ray Hollow,blues,sad,0.44,74,0.27,0.49,0.83,0.06,0.15,36,2000,melancholic,0.38,0.42
